,movie,year,imdb,metascores,votes
387, Napoleon,2023,6.4,64,129K
388, The Holdovers,2023,8.0,82,126K
389, Shazam! Fury of the Gods,2023,5.9,47,123K
390, Wonka,2023,7.1,66,123K
391, Elemental,2023,7.0,58,123K
392, La sociedad de la nieve,2023,7.8,72,122K
393, The Marvels,2023,5.6,50,119K
394, Scream VI,2023,6.5,61,118K
395, Fast X,2023,5.8,56,117K
396, Knock at the Cabin,2023,6.1,63,114K
397, Sound of Freedom,2023,7.7,36,111K
398, Asteroid City,2023,6.5,75,110K
399, A Haunting in Venice,2023,6.5,63,109K
400, The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.8,54,108K
401, The Equalizer 3,2023,6.8,58,107K
